customerId,transactionDtDate,transactionAmount,merchantName,transactionType,cardPresent,isFraud,nextTransAmt,nextTransDate,nextMerchantName,nextTransType,nextIsFraud,durationBetweenTrans
100088067,2016-11-20,22.32,AMC #79863,PURCHASE,True,False,22.32,2016-11-20,AMC #79863,REVERSAL,False,0
100328049,2016-01-15,43.74,Lyft,PURCHASE,False,False,43.74,2016-01-15,Lyft,REVERSAL,False,0
100328049,2016-03-24,284.97,McDonalds #423357,PURCHASE,True,False,284.97,2016-03-26,McDonalds #423357,REVERSAL,False,2
100737756,2016-05-30,93.67,34th BBQ #436606,PURCHASE,True,False,93.67,2016-06-06,34th BBQ #436606,REVERSAL,False,7
100737756,2016-08-11,501.29,Best Bistro #262998,PURCHASE,True,False,501.29,2016-08-24,Best Bistro #262998,REVERSAL,False,13
100737756,2016-12-08,522.2,Boston Cafe #465229,PURCHASE,True,False,522.2,2016-12-14,Boston Cafe #465229,REVERSAL,False,6
101376441,2016-07-05,96.63,target.com,PURCHASE,False,False,96.63,2016-07-12,target.com,REVERSAL,False,7
101380713,2016-09-23,303.72,staples.com,PURCHASE,False,False,303.72,2016-10-18,staples.com,REVERSAL,False,25
101394465,2016-08-25,55.51,KFC #621125,PURCHASE,True,False,55.51,2016-09-04,KFC #621125,REVERSAL,False,10
101596991,2016-12-30,294.01,Franks Sandwitch Bar,PURCHASE,True,False,294.01,2016-12-30,Franks Sandwitch Bar,REVERSAL,False,0
101596991,2016-02-09,224.06,Williams Sonoma,PURCHASE,True,False,224.06,2016-02-25,Williams Sonoma,REVERSAL,False,16
101738384,2016-03-03,174.92,discount.com,PURCHASE,False,False,174.92,2016-03-17,discount.com,REVERSAL,False,14
101738384,2016-06-19,69.17,sears.com,PURCHASE,False,False,69.17,2016-07-05,sears.com,REVERSAL,False,16
101738384,2016-05-26,954.71,staples.com,PURCHASE,False,False,954.71,2016-06-11,staples.com,REVERSAL,False,16
101738384,2016-08-12,103.56,walmart.com,PURCHASE,False,False,103.56,2016-08-16,walmart.com,REVERSAL,False,4
101876201,2016-04-14,118.15,alibaba.com,PURCHASE,False,False,118.15,2016-04-14,alibaba.com,REVERSAL,False,0
101876201,2016-07-06,24.91,apple.com,PURCHASE,False,False,24.91,2016-07-20,apple.com,REVERSAL,False,14
101876201,2016-06-16,49.07,cheapfast.com,PURCHASE,False,False,49.07,2016-06-16,cheapfast.com,REVERSAL,False,0
101876201,2016-04-16,192.92,gap.com,PURCHASE,False,False,192.92,2016-04-30,gap.com,REVERSAL,False,14
101876201,2016-11-03,6.15,staples.com,PURCHASE,False,False,6.15,2016-11-03,staples.com,REVERSAL,False,0
101876201,2016-01-01,30.52,staples.com,PURCHASE,False,False,30.52,2016-01-16,staples.com,REVERSAL,False,15
101876201,2016-09-02,84.69,staples.com,PURCHASE,False,False,84.69,2016-09-26,staples.com,REVERSAL,False,24
102204865,2016-06-08,12.54,34th BBQ #538716,PURCHASE,True,False,12.54,2016-06-08,34th BBQ #538716,REVERSAL,False,0
102204865,2016-10-16,36.9,Auntie Anne's #392720,PURCHASE,True,False,36.9,2016-10-16,Auntie Anne's #392720,REVERSAL,False,0
102204865,2016-04-05,4.8,Boston Cafe #465229,PURCHASE,True,False,4.8,2016-04-28,Boston Cafe #465229,REVERSAL,False,23
